127.0.0.1 - - [30/Jan/2024:12:39:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Jan/2024:12:39:49 +0530] "GET /IPL/signup.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [30/Jan/2024:12:39:49 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Jan/2024:12:40:13 +0530] "POST /IPL/signup HTTP/1.1" 500 6977
0:0:0:0:0:0:0:1 - - [30/Jan/2024:12:43:22 +0530] "GET /IPL/signup.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [30/Jan/2024:12:43:26 +0530] "POST /IPL/signup HTTP/1.1" 500 6957
0:0:0:0:0:0:0:1 - - [30/Jan/2024:12:44:30 +0530] "GET /IPL/signup.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [30/Jan/2024:12:44:41 +0530] "POST /IPL/signup HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [30/Jan/2024:12:44:54 +0530] "POST /IPL/management_signup HTTP/1.1" 500 2499
0:0:0:0:0:0:0:1 - - [30/Jan/2024:12:46:10 +0530] "POST /IPL/signup HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [30/Jan/2024:12:46:14 +0530] "POST /IPL/management_signup HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:12:47:22 +0530] "POST /IPL/signup HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [30/Jan/2024:12:47:29 +0530] "POST /IPL/management_signup HTTP/1.1" 200 153
