127.0.0.1 - - [08/Feb/2024:13:02:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:02:56 +0530] "GET /IPL/ HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:02:56 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:03:07 +0530] "GET /IPL/managerlogin.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:03:14 +0530] "POST /IPL/management_login HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:03:16 +0530] "GET /IPL/viewAllplayers HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:04:35 +0530] "POST /IPL/management_login HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:04:37 +0530] "GET /IPL/viewAllplayers HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:04:47 +0530] "GET /IPL/managerlogin.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:04:48 +0530] "GET /IPL/ HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:04:51 +0530] "POST /IPL/management_login HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:04:54 +0530] "GET /IPL/viewAllplayers HTTP/1.1" 500 12660
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:05:57 +0530] "GET /IPL/ HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:05:58 +0530] "GET /IPL/ HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:06:00 +0530] "GET /IPL/managerlogin.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:06:04 +0530] "POST /IPL/management_login HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:06:06 +0530] "GET /IPL/viewAllplayers HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:06:12 +0530] "GET /IPL/change_pstatus?id=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:07:26 +0530] "GET /IPL/viewAllplayers HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:07:27 +0530] "GET /IPL/viewAllplayers HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:07:30 +0530] "GET /IPL/change_pstatus?id=2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:07:35 +0530] "GET /IPL/viewAllplayers HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:07:42 +0530] "GET /IPL/change_pstatus?id=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:07:57 +0530] "GET /IPL/viewAllplayers HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:08:05 +0530] "GET /IPL/change_pstatus?id=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:08:47 +0530] "GET /IPL/viewAllplayers HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:08:50 +0530] "GET /IPL/change_pstatus?id=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:08:54 +0530] "GET /IPL/viewAllplayers HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:10:15 +0530] "GET /IPL/ HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [08/Feb/2024:13:10:25 +0530] "GET /IPL/managerlogin.jsp HTTP/1.1" 200 401
